,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,confirmations_min,confirmations_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
22,122D82buy7WaLGQaHiRZyThvSDyJUGsfiZ,exchange,17,9566,59600.23529,11074,77549.76916,2244,244868,242624,4732.235294,373,8906.87941,192,35764,18928.94118,1492,35627.51764,768,143056,150681.7647,150126,3143.643498,147161,156727,30.35294118,2,59.53039263,1,240,7.411764706,3,7.714100916,1,25,4066912530,80000000,7343139312,34216,25405322843,4066852929,79997514,7343068475,30036,25405107857
23,122o9MHBsbtaZkr6mRv5hNQLbaCeBJFrth,coinjoin-like,8,70,83250,100000,47225.87063,10000,144800,134800,1775.125,814.5,2435.108999,225,7309,7100.5,3258,9740.435998,900,29236,276002.5,276018,31.55041317,275949,276034,11.5,5,16.50108222,1,49,2,2,0,2,2,1006320451,1156096369,840483298.3,25470000,2134336568,1006237201,1156003969,840475442.1,25460000,2134226568
24,1234AhbKmCr6xpRih7EcJzNb7YMkQBGPsP,services,3,44745,40000,10000,51961.52423,10000,100000,90000,1698.666667,373,2299.586992,369,4354,6794.666667,1492,9198.347968,1476,17416,336254.6667,351085,25796.95421,306467,351212,9.666666667,2,14.15391583,1,26,6.333333333,2,7.505553499,2,15,1244720416,1250241236,1131100112,110870000,2373050013,1244680416,1250231236,1131055222,110860000,2372950013
25,1235hfQHqhkXKEgFy92bkRikFT5C7fCB4q,gambling,250,9302,12478.744,10000,6748.479778,5600,45040,39440,619.64,478,513.7097363,192,4059,2478.56,1912,2054.838945,768,16236,285528.648,285839,1743.059998,278900,288234,3.416,2,3.486483367,1,27,2.448,2,1.541688429,1,7,168055205.2,107524631,270538528.8,1000000,3011024743,168042726.5,107516131,270536757,990000,3010990053
26,123aGxC6FAFKKdZzBRwtVyFA1uk8KCjzF1,exchange,250,42742,212102.848,10000,444728.4479,1120,3790350,3789230,4330.596,404,8698.260011,217,36326,17313.276,1616,34795.69384,541,145304,153955.888,155411,6409.847351,119248,161990,23.032,2,55.93533788,1,240,17.652,3,29.18826331,1,101,23755163872,6919640,1.01606E+11,2730,1.05508E+12,23754951769,6909640,1.01606E+11,546,1.05508E+12
27,123g3ijJLVz6zgKDgNJDbqvscMFN77smy6,coinjoin-like,2,11,77340,77340,95233.14129,10000,144680,134680,1920,1920,2395.677775,226,3614,7680,7680,9582.711099,904,14456,275859,275859,15.55634919,275848,275870,12.5,12.5,16.26345597,1,24,2,2,0,2,2,750437387.5,750437387.5,828315331,164730000,1336144775,750360047.5,750360047.5,828220097.8,164720000,1336000095
28,123JSndGU2Q1v9gc3k2qTnUtuHakTGfc9B,services,250,9381,52677.168,12578,76874.31382,458,540534,540076,7765.628,1491,10742.82698,191,36587,30969.308,5964,43037.05372,541,146348,125371.316,123919,3087.838661,121952,131343,44.04,9,59.39222293,1,150,3.16,2,2.78953869,1,24,340249980,8784658.5,1147133878,39681,7492252033,340197302.9,8748945.5,1147137151,37421,7492246993
29,123okrhPQu5iZYmhWjq4h9LfJLfrAoP3tk,miner,18,173509,1398100.5,186250,2503697.154,3780,10000000,9996220,8257.944444,2691.5,11194.68911,225,33654,32703.44444,10303.5,44588.6613,900,133611,111856.2222,153990.5,75057.48251,1106,174615,53.61111111,13.5,76.45001357,1,226,5.277777778,2,9.404664397,1,36,6096801601,2001807059,14500980265,10715303,60589757732,6095403500,2000470421,14501316359,10575489,60589753952
30,123QRYnQqUZJZgQP9R1BRMiHF2amsZGHgt,services,3,12324,175208,15624,281292.1787,10000,500000,490000,8115.333333,258,13667.3653,191,23897,32461.33333,1032,54669.46121,764,95588,327413.3333,331510,7110.362321,319203,331527,52.33333333,1,88.91194146,1,155,11,2,16.46207763,1,30,3283400000,272700000,5434998844,20000000,9557500000,3283224792,272684376,5434717576,19990000,9557000000
31,123XGDxKQUWhj5xVibZHNU9RKXE6m8XMN3,services,192,93160,68620.32813,2165,178858.0463,0,896094,896094,79086.35938,59309,67584.76498,582,235203,316307.75,237236,270382.3202,1750,940812,141846.3594,149474,25692.44786,77452,170624,41.5,2,46.62392708,1,100,2135.791667,1497.5,2221.570792,1,7057,7913945031,4772093900,8638706397,1467855,40760475444,7913876411,4772058900,8638768971,1457855,40760475444
